,INFLUENCEURS,SUIT OMAJ,SUIVI PAR OMAJ,TYPE DE CONTENU,engagée, vide dressing, mode consciente, sport, grandes tailles,écologie,durable, podcast, mobilier, nourriture, slow, vetementdocassion, vintage , slowfashion, vintage, écolo,ecologie,  durable, fashion,secondemain, couture, économie circulaire, photographe, mode, haul, économie responsable, ecofriendly, upcycling ,slow , durable,upcycling,slow, upcycling,économie circulaire, équitable,  femme,slowfashion, vinted , looks, mode éthique , engagée, vinted,mode éthique,animatrice télé, coloré,looks, slow , zérodéchet,vintage, luxe, ecofriendly , secondemain,économie responsable, secondevie, durable , mode éthique, écologie,zérodéchet, mode ,autrice, reconditionné,mode, design,friperie
0,claire_arnoux,0,1,"animatrice télé, sport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,iznowgood_,0,1,"autrice, mode éthique, équitable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,chloeandyou,1,1,"autrice, nourriture, écologie, slow",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,mathildeclauzet,0,0,"mode, coloré, vintage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,bonjourlasmala,1,1," photographe,  femme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,melting.green,1,1,"looks, mode éthique, économie responsable, écologie, nourriture",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,lapetillante_ju,0,1,"slow, design, mobilier",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,asundaymorningperrine,1,1,écologie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,carine.galli,1,1,"animatrice télé, sport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,constancypense_,0,0,"looks, vinted, mode, secondemain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
